Date,^FCHI,^FTSE,^GDAXI,^GSPC
2017-07-13,5235.399902,7413.399901999999,12641.330078,2447.830078
2017-07-14,5235.310059,7378.399901999999,12631.719727,2459.27002
2017-07-17,5230.169922,7404.100098000001,12587.160156,2459.139893
2017-07-18,5173.27002,7390.200195,12430.389648,2460.610107
2017-07-19,5216.069824,7430.899901999999,12452.049805,2473.830078
2017-07-20,5199.220215,7487.899901999999,12447.25,2473.449951
2017-07-21,5117.660156,7452.899901999999,12240.05957,2472.540039
2017-07-24,5127.700195,7377.700195,12208.950195,2469.909912
2017-07-25,5161.080078,7434.799805,12264.30957,2477.1298829999996
2017-07-26,5190.169922,7452.299805,12305.110352,2477.830078
2017-07-27,5186.950195,7443.0,12212.040039,2475.419922
2017-07-28,5131.390136999999,7368.399901999999,12162.700195,2472.100098
2017-07-31,5093.77002,7372.0,12118.25,2470.300049
2017-08-01,5127.029785,7423.700195,12251.290039,2476.350098
2017-08-02,5107.25,7411.399901999999,12181.480469,2477.570068
2017-08-03,5130.490234000001,7474.799805,12154.719727,2472.159912
2017-08-04,5203.439941,7511.700195,12297.719727,2476.830078
2017-08-07,5207.890136999999,7531.899901999999,12257.169922,2480.909912
2017-08-08,5218.890136999999,7542.700195,12292.049805,2474.919922
2017-08-09,5145.700195,7498.100098000001,12154.0,2474.02002
2017-08-10,5115.22998,7389.899901999999,12014.299805,2438.209961
2017-08-11,5060.919922,7310.0,12014.05957,2441.320068
2017-08-14,5121.669922,7353.899901999999,12165.120117,2465.840088
2017-08-15,5140.25,7383.899901999999,12177.040039,2464.610107
2017-08-16,5176.609863000001,7433.0,12263.860352,2468.110107
2017-08-17,5146.850098,7387.899901999999,12203.459961,2430.01001
2017-08-18,5114.149902,7324.0,12165.19043,2425.550049
2017-08-21,5087.589844,7318.899901999999,12065.990234,2428.3701170000004
2017-08-22,5131.859863000001,7381.700195,12229.339844,2452.51001
2017-08-23,5115.390136999999,7382.700195,12174.299805,2444.040039
2017-08-24,5113.129883,7407.100098000001,12180.830078,2438.969971
2017-08-25,5104.330078,7401.5,12167.94043,2443.050049
2017-08-28,5079.75,,12123.469727,2444.23999
2017-08-29,5031.919922,7337.399901999999,11945.879883,2446.300049
2017-08-30,5056.339844,7365.299805,12002.469727,2457.590088
2017-08-31,5085.589844,7430.600098000001,12055.839844,2471.649902
2017-09-01,5123.259765999999,7438.5,12142.639648,2476.550049
2017-09-04,5103.970215,7411.5,12102.209961,
2017-09-05,5086.560059,7372.899901999999,12123.709961,2457.850098
2017-09-06,5101.410156,7354.100098000001,12214.540039,2465.540039
2017-09-07,5114.620117,7397.0,12296.629883,2465.100098
2017-09-08,5113.490234000001,7377.600098000001,12303.980469,2461.429932
2017-09-11,5176.709961,7413.600098000001,12475.240234,2488.110107
2017-09-12,5209.009765999999,7400.700195,12524.769531,2496.47998
2017-09-13,5217.589844,7379.700195,12553.570313,2498.3701170000004
2017-09-14,5225.200195,7295.399901999999,12540.450195,2495.6201170000004
2017-09-15,5213.910156,7215.5,12518.80957,2500.22998
2017-09-18,5229.319824,7253.299805,12559.389648,2503.8701170000004
2017-09-19,5237.439941,7275.299805,12561.790039,2506.649902
2017-09-20,5241.660156,7272.0,12569.169922,2508.23999
2017-09-21,5267.290039,7263.899901999999,12600.030273,2500.600098
2017-09-22,5281.290039,7310.600098000001,12592.349609,2502.219971
2017-09-25,5267.129883,7301.299805,12594.80957,2496.659912
2017-09-26,5268.759765999999,7285.700195,12605.200195,2496.840088
2017-09-27,5281.959961,7313.5,12657.410156,2507.040039
2017-09-28,5293.77002,7322.799805,12704.650391,2510.060059
2017-09-29,5329.810059,7372.799805,12828.860352,2519.360107
2017-10-02,5350.439941,7438.799805,12902.650391,2529.1201170000004
2017-10-03,5367.410156,7468.100098000001,,2534.580078
2017-10-04,5363.22998,7467.600098000001,12970.519531,2537.73999
2017-10-05,5379.209961,7508.0,12968.049805,2552.070068
2017-10-06,5359.899902,7522.899901999999,12955.94043,2549.330078
2017-10-09,5365.830078,7507.899901999999,12976.400391,2544.72998
2017-10-10,5363.649902,7538.299805,12949.25,2550.639893
2017-10-11,5362.410156,7533.799805,12970.679688,2555.23999
2017-10-12,5360.810059,7556.200195,12982.889648,2550.929932
2017-10-13,5351.740234000001,7535.399901999999,12991.870117,2553.169922
2017-10-16,5362.879883,7527.0,13003.700195,2557.639893
2017-10-17,5361.370117,7516.200195,12995.05957,2559.360107
2017-10-18,5383.810059,7542.899901999999,13043.030273,2561.26001
2017-10-19,5368.290039,7523.0,12990.099609,2562.100098
2017-10-20,5372.379883,7523.200195,12991.280273,2575.209961
2017-10-23,5386.810059,7524.5,13003.139648,2564.97998
2017-10-24,5394.799805,7526.5,13013.19043,2569.1298829999996
2017-10-25,5374.890136999999,7447.200195,12953.410156,2557.149902
2017-10-26,5455.399902,7486.5,13133.280273,2560.399902
2017-10-27,5494.129883,7505.0,13217.540039,2581.070068
2017-10-30,5493.629883,7487.799805,13229.570313,2572.830078
2017-10-31,5503.290039,7493.100098000001,,2575.26001
2017-11-01,5514.290039,7488.0,13465.509766,2579.360107
2017-11-02,5510.5,7555.299805,13440.929688,2579.850098
2017-11-03,5517.970215,7560.399901999999,13478.860352000002,2587.840088
2017-11-06,5507.25,7562.299805,13468.790038999998,2591.1298829999996
2017-11-07,5480.640136999999,7513.100098000001,13379.269531,2590.639893
2017-11-08,5471.430176,7529.700195,13382.419922,2594.3798829999996
2017-11-09,5407.75,7484.100098000001,13182.55957,2584.6201170000004
2017-11-10,5380.720215,7433.0,13127.469727,2582.300049
2017-11-13,5341.629883,7415.200195,13074.419922,2584.840088
2017-11-14,5315.580078,7414.399901999999,13033.480469,2578.8701170000004
2017-11-15,5301.25,7372.600098000001,12976.370117,2564.6201170000004
2017-11-16,5336.390136999999,7386.899901999999,13047.219727,2585.639893
2017-11-17,5319.169922,7380.700195,12993.730469,2578.850098
2017-11-20,5340.450195,7389.5,13058.660156,2582.139893
