Date,Open,High,Low,Close,Adj Close,Volume
2009-10-20,185.190002,187.550003,184.070007,184.960007,158.691772,7387400
2009-10-21,185.199997,185.5,179.100006,179.259995,153.8013,11759300
2009-10-22,180.039993,183.940002,179.559998,183.690002,157.602188,10666200
2009-10-23,184.029999,184.889999,179.039993,180.360001,154.745117,9221900
2009-10-26,180.520004,182.449997,177.820007,179.369995,153.895706,9427400
2009-10-27,179.25,180.100006,177.399994,178.610001,153.243622,10505700
2009-10-28,177.910004,178.399994,171.669998,172.160004,147.709686,13586400
2009-10-29,174.570007,178.580002,173.440002,178.580002,153.217865,9342900
2009-10-30,177.220001,177.619995,169.679993,170.169998,146.002274,13323700
2009-11-02,171.589996,173.360001,165.300003,170.679993,146.43988,15802400
2009-11-03,168.979996,172.160004,168.740005,171.610001,147.237762,11150300
2009-11-04,173.470001,174.600006,169.020004,169.5,145.42746,11143300
2009-11-05,170.979996,173.5,169.210007,173.399994,148.77356,9017500
2009-11-06,171.960007,173.949997,171,171.779999,147.383636,6274200
2009-11-09,173.679993,176.75,173.5,176.570007,151.493362,10329200
2009-11-10,176.399994,177.740005,175.320007,176.509995,151.441864,7244700
2009-11-11,178.029999,180.839996,177.949997,179.850006,154.307571,8187800
2009-11-12,179.699997,181.429993,177.789993,178.479996,153.13208,7404200
2009-11-13,178.889999,178.990005,175.639999,176.759995,151.656357,7630900
2009-11-16,177.990005,179.380005,176.429993,177.25,152.076721,8748500
2009-11-17,177.009995,178.25,175.5,176.600006,151.519135,7680500
2009-11-18,176.470001,177.449997,175.009995,176.899994,151.776489,5959000
2009-11-19,175.529999,176.199997,171.429993,172.830002,148.28447,8893100
2009-11-20,171.399994,172.440002,170.009995,170.009995,145.865005,8825400
2009-11-23,171.669998,173.630005,171.25,172,147.572372,7930000
2009-11-24,171.639999,172,170.279999,171.130005,146.825943,6143700
2009-11-25,171.970001,172.100006,168.050003,168.919998,144.92984,6984800
2009-11-27,164.270004,166.300003,163.220001,164.160004,140.845795,6883200
2009-11-30,165.470001,169.990005,164.770004,169.660004,145.875717,10699200
2009-12-01,171.25,171.330002,167.070007,167.630005,144.130295,13489100
2009-12-02,167.649994,167.809998,165.570007,166.660004,143.296295,7500200
2009-12-03,167.949997,169.160004,163.940002,164.300003,141.26712,8020400
2009-12-04,167.5,167.800003,163.529999,167.240005,143.794983,10410300
2009-12-07,166.520004,167.360001,163.759995,163.850006,140.880219,6654600
2009-12-08,163.119995,164.100006,161.050003,161.839996,139.151993,11693900
2009-12-09,162.130005,167.050003,160.720001,166.440002,143.107086,10975800
2009-12-10,166.690002,167.940002,164.160004,166.729996,143.356476,11930700
2009-12-11,167.539993,167.949997,165.419998,166,142.728821,6425000
2009-12-14,166.479996,166.5,163.860001,166.100006,142.814774,6652900
2009-12-15,164.809998,166,162.110001,162.740005,139.925812,7539800
2009-12-16,163.850006,165.889999,163.070007,164.990005,141.860413,8637700
2009-12-17,162.309998,163.619995,160.830002,160.929993,138.369598,8943800
2009-12-18,161.809998,163.380005,160.199997,163.190002,140.312775,8687100
2009-12-21,163.789993,166.75,163.419998,165.449997,142.255981,9392900
2009-12-22,165.5,166.300003,164.5,164.600006,141.52507,4190700
2009-12-23,165.059998,165.800003,163.389999,163.630005,140.691055,4052600
2009-12-24,164,164.899994,163.309998,163.970001,140.983459,1858100
2009-12-28,164.100006,165.710007,163.460007,163.759995,140.802856,3586000
2009-12-29,164.5,165.199997,163.210007,164.119995,141.11235,5214800
2009-12-30,164.059998,167.279999,163.690002,166.699997,143.330704,5996200
2009-12-31,167.289993,170.130005,166.929993,168.839996,145.170639,6401800
2010-01-04,170.050003,174.25,169.509995,173.080002,148.81633,9135000
2010-01-05,173,176.259995,172.570007,176.139999,151.447327,11659400
2010-01-06,175.380005,175.380005,173.759995,174.259995,149.830826,7381100
2010-01-07,174.320007,178.75,173.949997,177.669998,152.762802,8727400
2010-01-08,176.330002,177.429993,173.949997,174.309998,149.87384,7268100
2010-01-11,175.059998,175.059998,170.520004,171.559998,147.509415,7704900
2010-01-12,170.009995,170.479996,167.029999,167.820007,144.293686,10360100
2010-01-13,168.009995,169.669998,166.119995,169.070007,145.368408,11269500
2010-01-14,168,170.720001,167.210007,168.529999,144.904175,10521400
2010-01-15,167.600006,167.800003,164.580002,165.210007,142.049576,10896300
2010-01-19,165.009995,167.399994,163.899994,166.860001,143.468231,7705300
2010-01-20,165.800003,168.179993,164.320007,167.789993,144.267868,8893900
2010-01-21,169.289993,171,156.770004,160.869995,138.318008,51738300
2010-01-22,158.690002,159.75,152.25,154.119995,132.514252,30175600
2010-01-25,156.130005,158.300003,154.5,154.979996,133.253662,17877000
2010-01-26,154.910004,156.5,150.699997,150.880005,129.728485,15985900
2010-01-27,150.75,152.929993,148.270004,151.5,130.261536,19899000
2010-01-28,154.229996,155.199997,149.949997,153.289993,131.800644,16160700
2010-01-29,154.440002,154.880005,147.809998,148.720001,127.871292,18502800
2010-02-01,149.820007,155.25,149.210007,153.130005,131.66304,12980800
2010-02-02,153.649994,157.5,153.649994,156.940002,134.938889,17246600
2010-02-03,157.919998,159.940002,157.110001,157.229996,135.188248,16785200
2010-02-04,155.270004,156.059998,150.449997,150.679993,129.556519,18895000
2010-02-05,150.820007,154.460007,148.869995,154.160004,132.548645,18759200
2010-02-08,154.270004,154.600006,150.820007,151.100006,129.917618,10257300
2010-02-09,152.699997,153.529999,149.649994,152.490005,131.112747,14017300
2010-02-10,152.770004,155.350006,151.759995,153.630005,132.092957,10555300
2010-02-11,154.399994,155.320007,152.25,154.050003,132.454086,11163400
2010-02-12,152.369995,154.5,151.139999,153.929993,132.350845,10293200
2010-02-16,155.300003,157.740005,154.600006,157.399994,135.334427,11497100
2010-02-17,158,158.190002,155.809998,157.259995,135.21405,10070000
2010-02-18,155.610001,156.589996,154.880005,155.729996,133.89856,10991100
2010-02-19,154.509995,157,154.490005,156.179993,134.285477,8693000
2010-02-22,157.199997,157.970001,156.029999,156.710007,134.74118,7375500
2010-02-23,156.809998,160.210007,155.910004,156.699997,134.732605,15696000
2010-02-24,157.339996,159.25,156.869995,158.330002,136.134064,8361500
2010-02-25,156.229996,156.440002,154.320007,156.440002,134.509048,10519900
2010-02-26,156.259995,156.990005,155.259995,156.350006,134.733047,7812700
2010-03-01,156.509995,158.289993,156.169998,156.539993,134.89679,6522800
2010-03-02,157.179993,159.75,156.910004,158.75,136.801239,11986400
2010-03-03,159.039993,159.449997,157.229996,157.720001,135.913681,10006000
2010-03-04,158.25,163.850006,158.110001,163.610001,140.989288,15439500
2010-03-05,165.110001,168.25,165,167.179993,144.06572,12226700
2010-03-08,167.880005,170.690002,167.460007,169.839996,146.357941,9344500
2010-03-09,169.220001,172.199997,168,168.850006,145.504852,12958700
2010-03-10,170.259995,172.339996,168.869995,171.940002,148.167618,13107200
2010-03-11,171.399994,173.570007,171.100006,173.509995,149.520538,8910600
2010-03-12,175.009995,176.339996,174,174.960007,150.77005,10216900
2010-03-15,173.949997,175.199997,170.380005,173.529999,149.537735,13958600
2010-03-16,174.330002,176.419998,173.559998,176.190002,151.829956,11687700
2010-03-17,176.860001,177.880005,175.570007,176.639999,152.217804,10138600
2010-03-18,176.199997,177.75,175.660004,177.449997,152.915756,6883500
2010-03-19,177.899994,178.210007,175.949997,177.899994,153.303543,10896600
2010-03-22,176.210007,176.949997,175.229996,176.160004,151.804138,7320400
2010-03-23,176.25,176.809998,173.289993,174.830002,150.65799,10804800
2010-03-24,173.639999,175.960007,173.639999,174.410004,150.296082,8396100
2010-03-25,175.240005,178.729996,174.779999,174.899994,150.718292,9534300
2010-03-26,175.380005,175.479996,171.910004,172.869995,148.969025,11811500
2010-03-29,173.869995,174.429993,171.639999,174.050003,149.985916,11785600
2010-03-30,174.259995,174.779999,170.699997,171.380005,147.684998,8184600
2010-03-31,170,171.660004,169.850006,170.630005,147.038727,8243200
2010-04-01,171.720001,172,169.5,170.220001,146.68541,6480600
2010-04-05,170.679993,173.369995,169.770004,173.160004,149.218842,6135000
2010-04-06,172.610001,173.889999,172.149994,172.899994,148.994904,7743600
2010-04-07,172.889999,177.899994,172.809998,176.360001,151.976517,13887200
2010-04-08,176.100006,180.800003,175.279999,179.5,154.682358,10668800
2010-04-09,180.279999,181,177.5,179.119995,154.354843,8462000
2010-04-12,179.360001,180.380005,177.839996,177.839996,153.251816,6040800
2010-04-13,177.559998,180,177.110001,179.25,154.466934,6466400
2010-04-14,183.910004,185.940002,183.070007,184.919998,159.352982,12556400
2010-04-15,185.539993,185.600006,183.660004,184.270004,158.792816,7838700
2010-04-16,183.619995,186.410004,155.550003,160.699997,138.481628,102043700
2010-04-19,155.600006,163.729996,155,163.320007,140.739395,54299200
2010-04-20,166.440002,166.710007,158,159.979996,137.861206,42196600
